1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,5,15,35,69,121,195,-56,30
1,1,1,1,2,0,0,0,0,0,0,0,0,0,2,4,11,24,46,79,126,-72,38
1,1,1,1,3,0,0,0,0,0,0,0,0,0,2,4,10,21,39,66,104,-100,52
1,1,1,2,2,0,0,0,0,0,0,0,0,0,1,3,8,16,30,50,79,-78,41
1,1,1,2,3,0,0,0,0,0,0,0,0,0,1,3,7,14,25,41,64,-98,51
1,1,1,2,4,0,0,0,0,0,0,0,0,0,1,3,7,13,23,37,57,-124,64
1,1,1,3,4,0,0,0,0,0,0,0,0,0,1,3,6,11,19,30,45,-138,71
1,1,1,3,5,0,0,0,0,0,0,0,0,0,1,3,6,11,18,28,42,-166,85
1,1,1,4,6,0,0,0,0,0,0,0,0,0,1,3,6,10,16,24,35,-218,111
1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,2,5,9,16,25,39,-86,45
1,1,2,2,5,0,0,0,0,0,0,0,0,0,0,2,5,8,14,21,32,-124,64
1,1,2,3,3,0,0,0,0,0,0,0,0,0,0,2,4,8,13,20,31,-94,49
1,1,2,3,4,0,0,0,0,0,0,0,0,0,0,2,4,7,12,18,27,-108,56
1,1,2,3,5,0,0,0,0,0,0,0,0,0,0,2,4,7,11,17,25,-126,65
1,1,2,3,6,0,0,0,0,0,0,0,0,0,0,2,4,7,11,16,24,-146,75
1,1,2,4,5,0,0,0,0,0,0,0,0,0,0,2,4,6,10,15,22,-136,70
1,1,2,4,7,0,0,0,0,0,0,0,0,0,0,2,4,6,10,14,20,-176,90
1,1,2,5,7,0,0,0,0,0,0,0,0,0,0,2,4,6,9,13,18,-190,97
1,1,2,5,8,0,0,0,0,0,0,0,0,0,0,2,4,6,9,13,18,-212,108
1,1,2,6,9,0,0,0,0,0,0,0,0,0,0,2,4,6,9,12,17,-252,128
1,1,3,4,4,0,0,0,0,0,0,0,0,0,0,2,3,5,9,13,18,-116,60
1,1,3,4,5,0,0,0,0,0,0,0,0,0,0,2,3,5,8,12,17,-128,66
1,1,3,4,7,0,0,0,0,0,0,0,0,0,0,2,3,5,8,11,15,-160,82
1,1,3,4,8,0,0,0,0,0,0,0,0,0,0,2,3,5,8,11,15,-178,91
1,1,3,5,6,0,0,0,0,0,0,0,0,0,0,2,3,5,7,10,15,-152,78
1,1,3,5,9,0,0,0,0,0,0,0,0,0,0,2,3,5,7,10,14,-204,104
1,1,3,7,10,0,0,0,0,0,0,0,0,0,0,2,3,5,7,9,12,-248,126
1,1,3,7,11,0,0,0,0,0,0,0,0,0,0,2,3,5,7,9,12,-268,136
1,1,3,8,12,0,0,0,0,0,0,0,0,0,0,2,3,5,7,9,12,-304,154
1,1,4,5,6,0,0,0,0,0,0,0,0,0,0,2,3,4,6,9,13,-150,77
1,1,4,5,10,0,0,0,0,0,0,0,0,0,0,2,3,4,6,9,12,-212,108
1,1,4,6,7,0,0,0,0,0,0,0,0,0,0,2,3,4,6,8,11,-172,88
1,1,4,6,11,0,0,0,0,0,0,0,0,0,0,2,3,4,6,8,11,-236,120
1,1,4,9,14,0,0,0,0,0,0,0,0,0,0,2,3,4,6,8,10,-326,165
1,1,4,10,15,0,0,0,0,0,0,0,0,0,0,2,3,4,6,8,10,-360,182
1,1,5,7,8,0,0,0,0,0,0,0,0,0,0,2,3,4,5,7,9,-194,99
1,1,5,7,13,0,0,0,0,0,0,0,0,0,0,2,3,4,5,7,9,-270,137
1,1,5,12,18,0,0,0,0,0,0,0,0,0,0,2,3,4,5,7,9,-418,211
1,1,6,8,9,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,8,-216,110
1,1,6,8,15,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,8,-304,154
1,1,6,14,21,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,8,-476,240
1,2,2,3,5,0,0,0,0,0,0,0,0,0,-1,1,3,4,7,10,15,-90,47
1,2,2,3,7,0,0,0,0,0,0,0,0,0,-1,1,3,4,7,9,14,-116,60
1,2,3,3,4,0,0,0,0,0,0,0,0,0,-1,1,2,4,6,8,13,-76,40
1,2,3,4,5,0,0,0,0,0,0,0,0,0,-1,1,2,3,5,7,10,-86,45
1,2,3,4,7,0,0,0,0,0,0,0,0,0,-1,1,2,3,5,6,9,-104,54
1,2,3,4,9,0,0,0,0,0,0,0,0,0,-1,1,2,3,5,6,9,-126,65
1,2,3,5,5,0,0,0,0,0,0,0,0,0,-1,1,2,3,4,7,9,-92,48
1,2,3,5,7,0,0,0,0,0,0,0,0,0,-1,1,2,3,4,6,8,-108,56
1,2,3,5,8,0,0,0,0,0,0,0,0,0,-1,1,2,3,4,6,8,-118,61
1,2,3,5,10,0,0,0,0,0,0,0,0,0,-1,1,2,3,4,6,8,-140,72
1,2,3,7,9,0,0,0,0,0,0,0,0,0,-1,1,2,3,4,5,7,-140,72
1,2,3,7,12,0,0,0,0,0,0,0,0,0,-1,1,2,3,4,5,7,-174,89
1,2,3,8,11,0,0,0,0,0,0,0,0,0,-1,1,2,3,4,5,7,-170,87
1,2,3,8,13,0,0,0,0,0,0,0,0,0,-1,1,2,3,4,5,7,-194,99
1,2,3,10,15,0,0,0,0,0,0,0,0,0,-1,1,2,3,4,5,7,-238,121
1,2,4,5,9,0,0,0,0,0,0,0,0,0,-1,1,2,2,4,5,7,-120,62
1,2,4,5,11,0,0,0,0,0,0,0,0,0,-1,1,2,2,4,5,7,-140,72
1,2,5,6,7,0,0,0,0,0,0,0,0,0,-1,1,2,2,3,4,6,-106,55
