,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,g,hilb1,hilb2,hilb3,hilb4,hilb5,hilb6,e
f65,1,3,3,4,5,0,0,0,0,0,0,0,0,0,-1,1,1,3,4,5,8,-76
f66,1,3,4,5,6,0,0,0,0,0,0,0,0,0,-1,1,1,2,3,4,6,-80
f67,1,3,4,5,7,0,0,0,0,0,0,0,0,0,-1,1,1,2,3,4,5,-86
f68,1,3,4,5,8,0,0,0,0,0,0,0,0,0,-1,1,1,2,3,4,5,-92
f69,1,3,4,5,12,0,0,0,0,0,0,0,0,0,-1,1,1,2,3,4,5,-122
f70,1,3,4,7,10,0,0,0,0,0,0,0,0,0,-1,1,1,2,3,3,4,-110
f71,1,3,4,7,14,0,0,0,0,0,0,0,0,0,-1,1,1,2,3,3,4,-140
f72,1,3,4,10,13,0,0,0,0,0,0,0,0,0,-1,1,1,2,3,3,4,-144
f73,1,3,4,10,17,0,0,0,0,0,0,0,0,0,-1,1,1,2,3,3,4,-176
f74,1,3,4,11,18,0,0,0,0,0,0,0,0,0,-1,1,1,2,3,3,4,-190
f75,1,3,4,14,21,0,0,0,0,0,0,0,0,0,-1,1,1,2,3,3,4,-236
f76,1,3,5,6,7,0,0,0,0,0,0,0,0,0,-1,1,1,2,2,3,5,-86
f77,1,3,5,11,14,0,0,0,0,0,0,0,0,0,-1,1,1,2,2,3,4,-144
f78,1,3,5,11,19,0,0,0,0,0,0,0,0,0,-1,1,1,2,2,3,4,-180
f79,1,3,5,16,24,0,0,0,0,0,0,0,0,0,-1,1,1,2,2,3,4,-248
f80,1,3,5,7,8,0,0,0,0,0,0,0,0,0,-1,1,1,2,2,2,4,-92
f81,1,4,5,6,9,0,0,0,0,0,0,0,0,0,-1,1,1,1,2,3,4,-86
f82,1,4,5,6,15,0,0,0,0,0,0,0,0,0,-1,1,1,1,2,3,4,-120
f83,1,4,5,7,9,0,0,0,0,0,0,0,0,0,-1,1,1,1,2,3,3,-88
f84,1,4,5,7,16,0,0,0,0,0,0,0,0,0,-1,1,1,1,2,3,3,-126
f85,1,4,5,13,22,0,0,0,0,0,0,0,0,0,-1,1,1,1,2,3,3,-178
f86,1,4,5,18,27,0,0,0,0,0,0,0,0,0,-1,1,1,1,2,3,3,-236
f87,1,4,6,7,11,0,0,0,0,0,0,0,0,0,-1,1,1,1,2,2,3,-94
f88,1,4,6,7,17,0,0,0,0,0,0,0,0,0,-1,1,1,1,2,2,3,-126
f89,1,5,6,7,9,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,2,3,-80
f90,1,5,6,8,11,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,2,3,-88
f91,1,5,6,8,19,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,2,3,-124
f92,1,5,6,22,33,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,2,3,-236
f93,1,5,7,8,20,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,2,2,-124
f94,1,7,8,9,12,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,-80
f95,1,7,8,10,25,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,-122
f96,1,1,1,1,1,1,0,0,0,0,0,0,0,0,4,6,20,49,99,176,286,-36
f97,1,1,1,1,1,2,0,0,0,0,0,0,0,0,3,5,16,38,76,134,217,-40
f98,1,1,1,1,2,2,0,0,0,0,0,0,0,0,2,4,12,27,53,92,148,-50
f99,1,1,1,1,2,3,0,0,0,0,0,0,0,0,2,4,11,25,48,83,133,-58
f100,1,1,1,2,2,2,0,0,0,0,0,0,0,0,1,3,9,19,37,63,101,-48
f101,1,1,1,2,2,3,0,0,0,0,0,0,0,0,1,3,8,17,32,54,86,-60
f102,1,1,1,2,3,3,0,0,0,0,0,0,0,0,1,3,7,15,27,45,71,-76
f103,1,1,1,2,3,4,0,0,0,0,0,0,0,0,1,3,7,14,26,43,67,-80
