1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,5,15,35,69,121,195,30
1,1,1,1,2,0,0,0,0,0,0,0,0,0,2,4,11,24,46,79,126,38
1,1,1,1,3,0,0,0,0,0,0,0,0,0,2,4,10,21,39,66,104,52
1,1,1,2,2,0,0,0,0,0,0,0,0,0,1,3,8,16,30,50,79,41
1,1,1,2,3,0,0,0,0,0,0,0,0,0,1,3,7,14,25,41,64,51
1,1,1,2,4,0,0,0,0,0,0,0,0,0,1,3,7,13,23,37,57,64
1,1,1,3,4,0,0,0,0,0,0,0,0,0,1,3,6,11,19,30,45,71
1,1,1,3,5,0,0,0,0,0,0,0,0,0,1,3,6,11,18,28,42,85
1,1,1,4,6,0,0,0,0,0,0,0,0,0,1,3,6,10,16,24,35,111
1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,2,5,9,16,25,39,45
1,1,2,2,5,0,0,0,0,0,0,0,0,0,0,2,5,8,14,21,32,64
1,1,2,3,3,0,0,0,0,0,0,0,0,0,0,2,4,8,13,20,31,49
1,1,2,3,4,0,0,0,0,0,0,0,0,0,0,2,4,7,12,18,27,56
1,1,2,3,5,0,0,0,0,0,0,0,0,0,0,2,4,7,11,17,25,65
1,1,2,3,6,0,0,0,0,0,0,0,0,0,0,2,4,7,11,16,24,75
1,1,2,4,5,0,0,0,0,0,0,0,0,0,0,2,4,6,10,15,22,70
1,1,2,4,7,0,0,0,0,0,0,0,0,0,0,2,4,6,10,14,20,90
1,1,2,5,7,0,0,0,0,0,0,0,0,0,0,2,4,6,9,13,18,97
1,1,2,5,8,0,0,0,0,0,0,0,0,0,0,2,4,6,9,13,18,108
1,1,2,6,9,0,0,0,0,0,0,0,0,0,0,2,4,6,9,12,17,128
1,1,3,4,4,0,0,0,0,0,0,0,0,0,0,2,3,5,9,13,18,60
1,1,3,4,5,0,0,0,0,0,0,0,0,0,0,2,3,5,8,12,17,66
1,1,3,4,7,0,0,0,0,0,0,0,0,0,0,2,3,5,8,11,15,82
1,1,3,4,8,0,0,0,0,0,0,0,0,0,0,2,3,5,8,11,15,91
1,1,3,5,6,0,0,0,0,0,0,0,0,0,0,2,3,5,7,10,15,78
1,1,3,5,9,0,0,0,0,0,0,0,0,0,0,2,3,5,7,10,14,104
1,1,3,7,10,0,0,0,0,0,0,0,0,0,0,2,3,5,7,9,12,126
1,1,3,7,11,0,0,0,0,0,0,0,0,0,0,2,3,5,7,9,12,136
1,1,3,8,12,0,0,0,0,0,0,0,0,0,0,2,3,5,7,9,12,154
1,1,4,5,6,0,0,0,0,0,0,0,0,0,0,2,3,4,6,9,13,77
1,1,4,5,10,0,0,0,0,0,0,0,0,0,0,2,3,4,6,9,12,108
1,1,4,6,7,0,0,0,0,0,0,0,0,0,0,2,3,4,6,8,11,88
1,1,4,6,11,0,0,0,0,0,0,0,0,0,0,2,3,4,6,8,11,120
1,1,4,9,14,0,0,0,0,0,0,0,0,0,0,2,3,4,6,8,10,165
1,1,4,10,15,0,0,0,0,0,0,0,0,0,0,2,3,4,6,8,10,182
1,1,5,7,8,0,0,0,0,0,0,0,0,0,0,2,3,4,5,7,9,99
1,1,5,7,13,0,0,0,0,0,0,0,0,0,0,2,3,4,5,7,9,137
1,1,5,12,18,0,0,0,0,0,0,0,0,0,0,2,3,4,5,7,9,211
1,1,6,8,9,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,8,110
1,1,6,8,15,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,8,154
1,1,6,14,21,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,8,240
1,2,2,3,5,0,0,0,0,0,0,0,0,0,-1,1,3,4,7,10,15,47
1,2,2,3,7,0,0,0,0,0,0,0,0,0,-1,1,3,4,7,9,14,60
1,2,3,3,4,0,0,0,0,0,0,0,0,0,-1,1,2,4,6,8,13,40
1,2,3,4,5,0,0,0,0,0,0,0,0,0,-1,1,2,3,5,7,10,45
1,2,3,4,7,0,0,0,0,0,0,0,0,0,-1,1,2,3,5,6,9,54
1,2,3,4,9,0,0,0,0,0,0,0,0,0,-1,1,2,3,5,6,9,65
1,2,3,5,5,0,0,0,0,0,0,0,0,0,-1,1,2,3,4,7,9,48
1,2,3,5,7,0,0,0,0,0,0,0,0,0,-1,1,2,3,4,6,8,56
1,2,3,5,8,0,0,0,0,0,0,0,0,0,-1,1,2,3,4,6,8,61
1,2,3,5,10,0,0,0,0,0,0,0,0,0,-1,1,2,3,4,6,8,72
1,2,3,7,9,0,0,0,0,0,0,0,0,0,-1,1,2,3,4,5,7,72
1,2,3,7,12,0,0,0,0,0,0,0,0,0,-1,1,2,3,4,5,7,89
1,2,3,8,11,0,0,0,0,0,0,0,0,0,-1,1,2,3,4,5,7,87
1,2,3,8,13,0,0,0,0,0,0,0,0,0,-1,1,2,3,4,5,7,99
1,2,3,10,15,0,0,0,0,0,0,0,0,0,-1,1,2,3,4,5,7,121
1,2,4,5,9,0,0,0,0,0,0,0,0,0,-1,1,2,2,4,5,7,62
1,2,4,5,11,0,0,0,0,0,0,0,0,0,-1,1,2,2,4,5,7,72
1,2,5,6,7,0,0,0,0,0,0,0,0,0,-1,1,2,2,3,4,6,55
1,2,5,6,13,0,0,0,0,0,0,0,0,0,-1,1,2,2,3,4,6,80
1,2,5,9,11,0,0,0,0,0,0,0,0,0,-1,1,2,2,3,4,5,77
1,2,5,9,16,0,0,0,0,0,0,0,0,0,-1,1,2,2,3,4,5,100
1,2,5,14,21,0,0,0,0,0,0,0,0,0,-1,1,2,2,3,4,5,144
